LeadID,Age,Gender,Province,EmploymentStatus,MaritalStatus,InitialProductInterest,LeadSource,FirstContactChannel,Predicted_CLTV,CLTV_Score_Normalized,Lead_Priority
Lead_001,28,Male,Ontario,Full-time,Single,Chequing Account,Referral,Email,433.5750239159815,0.024938943549398622,Very Low Priority
Lead_002,27,Male,Ontario,Full-time,Single,Chequing Account,Social Media,Email,277.62667477778996,0.01596889947109185,Very Low Priority
Lead_003,34,Male,Unknown,Part-time,Married,Mortgage,Social Media,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_004,28,Male,Ontario,Part-time,Single,Chequing Account,Referral,Email,69.52914825232446,0.003999269809504756,Very Low Priority
Lead_005,33,Other,Quebec,Part-time,Single,Mortgage,Online Ad,Branch,536.9091269713294,0.03088265160607959,Very Low Priority
Lead_006,21,Female,Ontario,Full-time,Single,Chequing Account,Referral,Email,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_007,22,Male,Ontario,Student,Single,Investment,Referral,Email,376.2102675116954,0.021639361371508414,Very Low Priority
Lead_008,19,Female,Alberta,Self-employed,Married,Investment,Social Media,Website,482.7482274235303,0.02776735311815526,Very Low Priority
Lead_009,27,Female,Ontario,Full-time,Married,Credit Card,Referral,Email,378.0996297728515,0.021748036217097456,Very Low Priority
Lead_010,21,Male,Ontario,Unemployed,Single,Credit Card,Online Ad,Website,594.0334566656481,0.03416840460143643,Very Low Priority
Lead_011,30,Male,Manitoba,Full-time,Single,Investment,Branch Walk-in,Email,109.92494029337334,0.006322808578518777,Very Low Priority
Lead_012,30,Male,Alberta,Unemployed,Married,Chequing Account,Referral,Website,602.2311764877801,0.03463993192796793,Very Low Priority
Lead_013,27,Male,Quebec,Full-time,Single,Credit Card,Online Ad,Email,378.9793318439191,0.021798636088124382,Very Low Priority
Lead_014,28,Male,Ontario,Full-time,Divorced,Chequing Account,Online Ad,Website,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_015,22,Male,Alberta,Part-time,Married,Chequing Account,Referral,Email,546.3275183837765,0.03142439114088885,Very Low Priority
Lead_016,30,Male,British Columbia,Self-employed,Married,Chequing Account,Branch Walk-in,Email,362.3737968363915,0.02084349689117529,Very Low Priority
Lead_017,30,Female,Ontario,Part-time,Married,Credit Card,Social Media,Email,384.45965891151803,0.022113860812410107,Very Low Priority
Lead_018,28,Male,Alberta,Unemployed,Single,Investment,Online Ad,Call,254.83924952920586,0.014658182108320735,Very Low Priority
Lead_019,33,Female,Quebec,Part-time,Single,Mortgage,Online Ad,Email,227.52948072437778,0.013087342588047272,Very Low Priority
Lead_020,24,Male,Ontario,Full-time,Single,Chequing Account,Branch Walk-in,Branch,529.3576748081653,0.03044829716030868,Very Low Priority
Lead_021,28,Female,Ontario,Self-employed,Single,Chequing Account,Referral,Website,282.82909554581295,0.016268139212076302,Very Low Priority
Lead_022,32,Female,Quebec,Part-time,Single,Investment,Referral,Call,549.9530165769143,0.03163292735674484,Very Low Priority
Lead_023,25,Male,Alberta,Part-time,Divorced,Credit Card,Online Ad,Call,597.6487772206208,0.03437635540639542,Very Low Priority
Lead_024,27,Male,Ontario,Full-time,Married,Mortgage,Online Ad,Call,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_025,30,Male,Nova Scotia,Full-time,Widowed,Chequing Account,Partnership,Website,491.75048471787653,0.028285156898578665,Very Low Priority
Lead_026,29,Female,Ontario,Full-time,Single,Mortgage,Social Media,Website,0.0,0.0,Very Low Priority
Lead_027,20,Female,Quebec,Full-time,Married,Credit Card,Branch Walk-in,Email,486.375905775843,0.027976014735299596,Very Low Priority
Lead_028,32,Male,Ontario,Full-time,Married,Investment,Online Ad,Email,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_029,18,Male,Nova Scotia,Full-time,Single,Investment,Branch Walk-in,Email,376.2102675116954,0.021639361371508414,Very Low Priority
Lead_030,26,Male,Quebec,Full-time,Married,Chequing Account,Referral,Call,145.61454311080615,0.008375650510984177,Very Low Priority
